"branch_id","branch_name","branch_desc"
"77043",สำนักงานเขตพัทยา,สำนักงานเขตพัทยา
"77044",สำนักงานเขตระยอง,สำนักงานเขตระยอง
"77471",สนข.-กรุงเทพ-ใต้ (สนญ.),สนข.-กรุงเทพ-ใต้ (สนญ.)
"77472",สนข.-กรุงเทพ-ตะวันออก(สนญ.),สนข.-กรุงเทพ-ตะวันออก(สนญ.)
"88854",ภาคตะวันตกและภาคใต้ตอนล่าง,ภาคตะวันตกและภาคใต้ตอนล่าง
"77481",สำนักงานเขตอุดรธานี,สำนักงานเขตอุดรธานี
"77482",สำนักงานเขตขอนแก่น,สำนักงานเขตขอนแก่น
"77483",สำนักงานเขตนครราชสีมา,สำนักงานเขตนครราชสีมา
"77484",สำนักงานเขตอุบลราชธานี,สำนักงานเขตอุบลราชธานี
"88855",ฝ่ายพัฒนาระบบดิจิทัลเซอร์วิส,ฝ่ายพัฒนาระบบดิจิทัลเซอร์วิส
"77491",สำนักงานเขตสมุทรสาคร,สำนักงานเขตสมุทรสาคร
"77492",สำนักงานเขตประจวบคีรีขันธ์,สำนักงานเขตประจวบคีรีขันธ์
"77493",สำนักงานเขตสุราษฎร์ธานี,สำนักงานเขตสุราษฎร์ธานี
"77494",สำนักงานเขตนครศรีธรรมราช,สำนักงานเขตนครศรีธรรมราช
"77495",สำนักงานเขตหาดใหญ่,สำนักงานเขตหาดใหญ่
"88800",HEAD OFFICE,HEAD OFFICE
"88801",ฝ่ายธุรกรรมการเงิน,ฝ่ายธุรกรรมการเงิน
"88802",ฝ่ายสาขา กทม.และปริมณฑล 1,ฝ่ายสาขา กทม.และปริมณฑล 1
"88803",ภาคเหนือตอนบน,ภาคเหนือตอนบน
"88804",ภาคตะวันออก,ภาคตะวันออก
"88805",ฝ่ายบริหารหนี้ กทม.และปริมณฑล,ฝ่ายบริหารหนี้ กทม.และปริมณฑล
"88806",ฝ่ายวิเคราะห์สินเชื่อรายย่อย,ฝ่ายวิเคราะห์สินเชื่อรายย่อย
"88807",ฝ่ายประเมินราคาหลักทรัพย์,ฝ่ายประเมินราคาหลักทรัพย์
"88808",ฝ่ายบริหารคดี,ฝ่ายบริหารคดี
"88809",ฝ่ายบริหารสำนักงานและกิจการสาขา,ฝ่ายบริหารสำนักงานและกิจการสาขา
"88810",ฝ่ายทรัพยากรบุคคล,ฝ่ายทรัพยากรบุคคล
"88811",ฝ่ายการบัญชี,ฝ่ายการบัญชี
"88812",ฝ่ายวิเคราะห์สินเชื่อโครงการ,ฝ่ายวิเคราะห์สินเชื่อโครงการ
"88813",ฝ่ายสนับสนุนสินเชื่อ,ฝ่ายสนับสนุนสินเชื่อ
"88814",ฝ่ายพิธีการสินเชื่อ,ฝ่ายพิธีการสินเชื่อ
"88815",ฝ่ายพัฒนาระบบสารสนเทศ,ฝ่ายพัฒนาระบบสารสนเทศ
"88816",ฝ่ายปฏิบัติการเทคโนโลยีสารสนเทศ,ฝ่ายปฏิบัติการเทคโนโลยีสารสนเทศ
"88817",สำนักกรรมการผู้จัดการ,สำนักกรรมการผู้จัดการ
"88818",ฝ่ายตรวจสอบสาขา,ฝ่ายตรวจสอบสาขา
"88819",ฝ่ายพัฒนาระบบธุรกิจหลัก,ฝ่ายพัฒนาระบบธุรกิจหลัก
"88820",ฝ่ายบริหารและพัฒนาองค์กร,ฝ่ายบริหารและพัฒนาองค์กร
"88821",ฝ่ายเงินฝากและพันธมิตร,ฝ่ายเงินฝากและพันธมิตร
"88822",ฝ่ายวิเคราะห์และวางแผนกลยุทธ์,ฝ่ายวิเคราะห์และวางแผนกลยุทธ์
"88823",ฝ่ายวิชาการ,ฝ่ายวิชาการ
